iter	Logloss
0	0.6863546216
1	0.6791489226
2	0.6701154233
3	0.6615131799
4	0.6539978566
5	0.6472714372
6	0.6413676756
7	0.6345148353
8	0.6267658337
9	0.6205131446
10	0.6134371022
11	0.6062113856
12	0.6012376273
13	0.594483086
14	0.588385093
15	0.5829035329
16	0.5772812781
17	0.5720982763
18	0.5665858358
19	0.5614711053
20	0.5553855221
21	0.5519173337
22	0.5476824097
23	0.5419761861
24	0.5373775152
25	0.5327930823
26	0.5280149212
27	0.5233067433
28	0.5186691756
29	0.5137222808
30	0.5100430047
31	0.5052675854
32	0.5014070001
33	0.4968786538
34	0.4924085873
35	0.4886725172
36	0.4844821998
37	0.4801491186
38	0.4761042857
39	0.4719333643
40	0.4678733271
41	0.4649873032
42	0.4603068989
43	0.4567112621
44	0.4531514646
45	0.449551978
46	0.4459506299
47	0.4428866344
48	0.4396894148
49	0.4369784168
50	0.4335432089
51	0.4308602012
52	0.4285832162
53	0.4253860911
54	0.4229803104
55	0.4196221792
56	0.4169379755
57	0.4144695483
58	0.4121137329
59	0.4099670342
60	0.4073749938
61	0.4056737573
62	0.4029699058
63	0.4002931467
64	0.3973368862
65	0.3946809907
66	0.3926049783
67	0.3902797005
68	0.3883961969
69	0.3864041829
70	0.384571414
71	0.3821222219
72	0.3801105583
73	0.3783147121
74	0.3757050171
75	0.3735300873
76	0.3723823152
77	0.3702572034
78	0.3685166704
79	0.3669307963
80	0.3652357816
81	0.3637518531
82	0.3616393612
83	0.3603728324
84	0.3586016198
85	0.3572623249
86	0.3560003705
87	0.354368172
88	0.352717763
89	0.3511071444
90	0.3498224665
91	0.3487051337
92	0.3472849113
93	0.3461857388
94	0.3449427786
95	0.3445610779
96	0.3430447486
97	0.3417203873
98	0.3406836222
99	0.3394054628
100	0.3381567624
101	0.3375194741
102	0.3365682216
103	0.3355747744
104	0.3346220664
105	0.3337445875
106	0.3323014637
107	0.3308885575
108	0.3296073782
109	0.3284259222
110	0.3270029562
111	0.325919209
112	0.324532126
113	0.3236810941
114	0.322360451
115	0.3212094876
116	0.3204388383
117	0.3195043568
118	0.3184995022
119	0.3173160311
120	0.31608352
121	0.315235339
122	0.3141832774
123	0.3134349734
124	0.3120829189
125	0.3108915725
126	0.3096178772
127	0.3085458695
128	0.3075378447
129	0.306719833
130	0.3059330894
131	0.3050816823
132	0.3042545836
133	0.3037394964
134	0.3029511463
135	0.3019548572
136	0.3012051166
137	0.3002825931
138	0.2994035065
139	0.2984215722
140	0.2980236808
141	0.2973189074
142	0.2966500802
143	0.2961603222
144	0.2953196622
145	0.2942279363
146	0.2937647653
147	0.2929044968
148	0.2920233507
149	0.2911614979
150	0.2903381363
151	0.2893155812
152	0.2882318071
153	0.2875824394
154	0.2869817463
155	0.2864320398
156	0.2857459933
157	0.2847581799
158	0.2842687168
159	0.283681362
160	0.2827676645
161	0.2821764934
162	0.2815811954
163	0.2809572883
164	0.2803400341
165	0.2797262089
166	0.2788433111
167	0.2782270841
168	0.2775247614
169	0.2770472031
170	0.2764837274
171	0.2759862742
172	0.2753836587
173	0.2751534707
174	0.2745374128
175	0.2740083947
176	0.2736358555
177	0.2730434765
178	0.2724729934
179	0.2720334191
180	0.2714807135
181	0.2708846508
182	0.270389533
183	0.2699939243
184	0.2694240122
185	0.2684765271
186	0.2677932983
187	0.2669835292
188	0.2664677404
189	0.2660841085
190	0.2653107821
191	0.2648011809
192	0.2643145813
193	0.2638692435
194	0.262977081
195	0.2623172261
196	0.2618551601
197	0.2613227093
198	0.2607342779
199	0.2602326949
200	0.2598089737
201	0.2592618463
202	0.2587671177
203	0.2583974557
204	0.2575728481
205	0.257146253
206	0.2567989756
207	0.2562303723
208	0.2557558589
209	0.2552900668
210	0.2547641839
211	0.2543338509
212	0.253757927
213	0.2532301602
214	0.2528007731
215	0.2524785118
216	0.2519700873
217	0.2516305882
218	0.2513786938
219	0.2508542425
220	0.2504187084
221	0.2500525227
222	0.2496118895
223	0.249205196
224	0.2487619024
225	0.2483727977
226	0.2477093792
227	0.2473979826
228	0.24700785
229	0.2467110968
230	0.2464038995
231	0.2460619717
232	0.2457201505
233	0.2454941754
234	0.2449258161
235	0.2445582047
236	0.2442441435
237	0.2436703014
238	0.2434910949
239	0.2430695879
240	0.242719238
241	0.2422182894
242	0.2419362167
243	0.2414848256
244	0.2410629021
245	0.2406302262
246	0.2403072624
247	0.2400145785
248	0.2396178943
249	0.2392066402
250	0.2387526487
251	0.2382361065
252	0.2379379971
253	0.2376805697
254	0.2375445506
255	0.2370897104
256	0.2367517849
257	0.2363207531
258	0.236011148
259	0.2353964698
260	0.2350040195
261	0.2345741907
262	0.2342967156
263	0.2340382557
264	0.2337339192
265	0.2333006622
266	0.2329880953
267	0.2326342632
268	0.2323139792
